Element Symbol,symmetry,volume,Compounds
Ca,Fm-3m,43.36096382607296,"['CaP3', 'CaNd3', 'CaBi3', 'CaNp', 'CaMg', 'CaZn3', 'CaAg3', 'CaLa', 'CaYb3', 'CaCd3', 'CaPt5', 'CaP', 'CaPm3', 'CaSi2', 'Cs3Ca', 'Li3Ca', 'CaAl4', 'CaHg', 'CaAs3', 'CaB4', 'CaAu5', 'CaZn11', 'CaZn2', 'CaHo3', 'CaC2', 'CaO10', 'CaN', 'CaPb', 'CaI2', 'CaH2', 'CaTe', 'CaC6', 'CaHg2', 'CaSb2', 'SrCa', 'CaMg7', 'CaCu5', 'CaOs3', 'CaMn28', 'CaBr', 'CaGa2', 'CaNi3', 'CaPb3', 'CaBr2', 'CaN2', 'CaB6', 'CaCd', 'CaPd2', 'CaHg3', 'Rb3Ca', 'CaMg3', 'CaSi3', 'CaPd5', 'CaPd', 'CaMg15', 'CaAc3', 'CaIn', 'CaIn2', 'CaF3', 'CaSm3', 'CaB2', 'CaMg149', 'CaSn3', 'CaF', 'CaAs', 'CaDy3', 'CaNi5', 'Ba3Ca', 'CaMg2', 'CaCd2', 'Na3Ca', 'Sr3Ca', 'CaTl3', 'CaCl2', 'K3Ca', 'CaPr3', 'CaNi', 'CaEu3', 'CaTb3', 'CaH3', 'CaTl', 'BaCa', 'CaGa4', 'CaC', 'CaO2', 'CaS', 'CaGe3', 'CaPt2', 'Ca', 'CaCu', 'CaO', 'Li2Ca', 'CaGe2', 'CaHg11', 'CaC4', 'CaSe', 'CaAu3', 'CaF2', 'CaZn5', 'CaZn', 'CaI', 'CaMg5']"
Sc,P6_3/mmc,50.02447391787033,"['ScCu2', 'ScBr2', 'ScZn', 'ScC2', 'Ho3Sc', 'MgSc', 'ScAg4', 'ScRu2', 'ScPt', 'ScSn2', 'La3Sc', 'ScCl3', 'ScB2', 'K3Sc', 'Mg149Sc', 'ScAl', 'ScHg3', 'ScSb', 'ScRu', 'ScC', 'ScO', 'ScSe', 'ScIr2', 'Hf3Sc', 'Mg2Sc', 'ScIr3', 'ScS', 'ScH2', 'Sc(NF2)3', 'Tm3Sc', 'ScB12', 'Er3ScS6', 'Li3Sc', 'ScOs3', 'Mg5Sc', 'ScIn3P4', 'ScZn6', 'Zr9ScO20', 'ScTc3', 'ScOs2', 'ScIr', 'YSc', 'ScPd3', 'ScRu3', 'ScI3', 'ScIn2', 'ScHg', 'TbSc', 'ScNb', 'ScPd', 'ScCo2', 'ScTe3', 'ScZn12', 'ScBi', 'ScI2', 'ScP', 'ScH3', 'ScFe2', 'Ac3Sc', 'ScPb3', 'ScCl', 'ScAg', 'Lu3Sc', 'ScMn2', 'ScFe3', 'ScBr3', 'Nd3Sc', 'Sr3Sc', 'ScS2', 'Mg7Sc', 'Mg4Sc', 'ScCd', 'ScRh3', 'ScO3', 'ScSe2', 'ScAg3', 'ScGa3', 'ScSi', 'Pm3Sc', 'ScTc2', 'Zr3Sc', 'ScGe2', 'ScAu4', 'ScRh', 'ScZn2', 'ScAl2', 'HfSc', 'Mg3Sc', 'Pu3Sc', 'ScNi', 'Pr3Sc', 'ScSi2', 'ScBi3', 'ScSb3', 'Sm3Sc', 'ScAs', 'ThSc', 'ScBe5', 'ScAl3', 'ScN', 'ScO2', 'ScCu', 'ScIn3', 'Tb3Sc', 'ScSn', 'ScNi3', 'ScNi5', 'ScMo3O8', 'ScGa', 'ScInP2', 'Ce3Sc', 'Hf5Sc', 'ScGe', 'ScHO2', 'ScPt3', 'ScAu3', 'ScRe2', 'ScCo', 'ScAu', 'ScSn3', 'ScTe', 'ScIn', 'ScAg2', 'Na3Sc', 'ScCu3', 'ScF3', 'ScBe13', 'ScCd7', 'Sc', 'ScGa2', 'Yb3Sc', 'ZrSc', 'ScCd3', 'ScZn3', 'ScAu2', 'ScNi2']"
Ti,P6/mmm,51.05915967771039,"['Sm3Ti', 'TiN', 'TiMn2', 'TiCl2', 'Rb3Ti', 'TiF6', 'TiBr2', 'TiP', 'Yb3Ti', 'U3Ti', 'TiCo3', 'TiHg', 'TiAu3', 'TiZn3', 'TiAl2', 'TiS2', 'TiAs', 'TiCo2', 'ZrTi', 'TiPd3', 'TiCd', 'TiSe', 'TiGa3', 'TiAg', 'TiSb2', 'TiAu2', 'Ti', 'TiSi2', 'TiBr3', 'TiBe3', 'TiOs2', 'Na3Ti', 'PaTi', 'Th3Ti', 'TiAs3', 'TiGa2', 'TiFe4', 'TiN2', 'La3Ti', 'TiSe2', 'TiPd2', 'Eu3Ti', 'TiRh', 'TiI', 'TiBe12', 'TiO2', 'Mg2Ti', 'UTi', 'TiFe2', 'TiPt3', 'TiF3', 'TiO', 'TiSb', 'Mg7Ti', 'TiP3', 'TiTe', 'Mg5Ti', 'Mg149Ti', 'Ac3Ti', 'TiB2', 'K3Ti', 'TiIr', 'TiSb3', 'TiZn2', 'TiS3', 'TiCu', 'TiPd', 'TiI4', 'Mg3Ti', 'TiAl3', 'TiCl3', 'TiPt8', 'TiAu', 'TiAl', 'TiH2', 'TiCd3', 'TiCl4', 'MgTi', 'TiS', 'TiH', 'TiBr4', 'TiNi3', 'HfTi', 'TiI2', 'Mg15Ti', 'TiF4', 'TiTe2', 'TiIn', 'TiCr2', 'TiI3', 'U2Ti', 'Nd3Ti', 'TiPb3', 'TiGa', 'Sr3Ti', 'TiNi']"
V,Im-3m,13.263780153478194,"['VCo4', 'VAu', 'VH', 'VSe2', 'VSb', 'VF4', 'VIr', 'V', 'VP4', 'PaV', 'VIr3', 'VTe2', 'VGa', 'VGe3', 'VS2', 'VS4', 'Mg3V', 'VPt3', 'VRh3', 'VSn3', 'Sc3V', 'Mg6V', 'VNi3', 'VCl2', 'Th3V', 'VO3', 'Tl3V', 'VCo', 'VI2', 'VBi2', 'VSi2', 'VF2', 'VMo', 'VNi', 'VB2', 'VPd3', 'VPd4', 'VS', 'Mg7V', 'VRh', 'VHg3', 'VZn3', 'MnV', 'VP2', 'VOs', 'VRu', 'VCl4', 'Yb3V', 'VTc', 'Zr3V', 'VPt8', 'VAu3', 'Ac3V', 'VO2', 'VN', 'VSe', 'K3V', 'Tm3V', 'VCl3', 'VRu3', 'VSb2', 'VF5', 'VBr3', 'VCl5', 'VF3', 'Be12V', 'VO', 'VAs2', 'VGe2', 'LaV', 'VPt', 'VC3', 'Mg15V', 'VI3', 'VFe', 'VTe', 'Eu3V', 'VP', 'Mg149V', 'Ca3V', 'VIn3', 'Be2V', 'Al3V', 'VBr2', 'VI', 'VC', 'VCo3']"
Cr,Im-3m,26.16895772559837,"['CrB2', 'CrPd', 'CrAu', 'CrF4', 'CrTe2', 'CrCl3', 'Mg7Cr', 'CrPt4', 'Sr3Cr', 'Pr3Cr', 'Na3Cr', 'CrBr3', 'Be12Cr', 'Yb3Cr', 'CrTe3', 'CrTe', 'CrGe', 'Al3Cr', 'Eu3Cr', 'Mg15Cr', 'CrRe3', 'CrI2', 'CrSe2', 'CrP2', 'CrPt3', 'Sm3Cr', 'CrNi3', 'Th3Cr', 'CrF6', 'CrAg3', 'CrP4', 'CrO2', 'CrCl', 'CrAs2', 'CrI3', 'CrO', 'Ce3Cr', 'CrPt', 'Tl3Cr', 'CrPb2', 'CrCo', 'MgCr', 'Nd3Cr', 'CrS2', 'Li3Cr', 'CrC', 'CrRu', 'CrRh', 'CrSb', 'CrBr2', 'CrIn3', 'CrH', 'Mg3Cr', 'Nb3Cr', 'CrN', 'CrHg3', 'CrBi', 'Cr', 'CrMo3', 'Pm3Cr', 'CrIr3', 'CrF2', 'CrN2', 'CrRh3', 'CrNi', 'CrSi2', 'Zn3Cr', 'CrFe3', 'CrSi', 'CrO3', 'Rb3Cr', 'CrF3', 'CrPd3', 'CrSb2', 'CrF5', 'Be2Cr', 'CrGa', 'CrSe', 'CrIr', 'CrB', 'CrCo3', 'CrAs', 'K3Cr', 'Ac3Cr', 'CrS', 'Mg149Cr', 'CrH3']"
Mn,I-43m,377.65780883545983,"['MnSn', 'MnBr2', 'MnSi', 'MnAu3', 'Zr4Mn', 'Mg149Mn', 'U6Mn', 'MnBi', 'MnO4', 'MnO2', 'MnCo3', 'MnNi3', 'MnGe', 'Mn', 'MnSn3', 'MnB4', 'MnGe2', 'MnCu3', 'MnCd3', 'MnB', 'MnPd', 'MnZn', 'MnOs3', 'MnAl', 'MnTl3', 'MnS', 'MnBe12', 'MnSn2', 'MnCo', 'MnH', 'MnIn3', 'MnP4', 'MnPt3', 'MnS2', 'Ba3Mn', 'Zr3Mn', 'MnRu', 'MnFe3', 'MnTe2', 'MnBi3', 'Ca3Mn', 'MnIr3', 'MnF2', 'MnIr', 'MnO', 'MnAu', 'Rb3Mn', 'Pu4Mn', 'MnSb4', 'Ho4Mn', 'MnTe', 'MnBe2', 'HfMn', 'MnZn3', 'MnGa', 'MnHg', 'MnV', 'MnAl12', 'MnB2', 'MnRh', 'MnF3', 'Mg15Mn', 'MnAu4', 'MnSe', 'MnRu3', 'MnI2', 'MnPt', 'MnPt2', 'MnGe3', 'MnSb', 'Hf2Mn', 'MnV3', 'MnN', 'MnPd3', 'MnGa4', 'MnAu2', 'MnNi', 'MnF4', 'MnCl2', 'MnFe', 'MnSe2', 'Dy4Mn', 'MnMo3', 'Mg3Mn', 'Tb4Mn', 'MnAs', 'MnP', 'Yb3Mn', 'MnZn13', 'K3Mn', 'LiMn', 'Na3Mn', 'Mg7Mn', 'MnBe3', 'MnHg3']"
Fe,Im-3m,23.468168469356993,"['Cr3Fe', 'FeF6', 'FeTe2', 'FeB2', 'FeAg3', 'Mg149Fe', 'TaFe', 'FeSi', 'FeF3', 'Tl3Fe', 'U4Fe', 'FeGe2', 'Be5Fe', 'FeCo3', 'FeIr3', 'FeCu3', 'Zn13Fe', 'FeP4', 'FeF2', 'FeSb2', 'FeIr', 'Cr2Fe', 'FeAu3', 'FeO3', 'NbFe', 'FeSe2', 'Fe', 'FeSb3', 'Be3Fe', 'FeSn', 'FeSn2', 'Np4Fe', 'FeNi', 'KFe', 'Zr4Fe', 'Ga3Fe', 'FePd2', 'Hf4Fe', 'FeO', 'FeAu', 'FeO2', 'FeBr3', 'Nd4Fe', 'FeBr2', 'FeB', 'Sc4Fe', 'FeH4', 'FePd3', 'FeRe', 'FeNi2', 'Nb3Fe', 'FeF4', 'Mg15Fe', 'FeSe', 'FeS', 'Sr3Fe', 'FeGe3', 'FeCl', 'FeAg', 'FeRh', 'FeRh3', 'Zr2Fe', 'FeSb', 'FeSi2', 'Cd3Fe', 'Ti2Fe', 'Lu4Fe', 'FeTe', 'FeNi3', 'FeGe', 'FePd', 'FeI2', 'FeCo9', 'FeHg3', 'Na3Fe', 'FeS2', 'Dy4Fe', 'Mg3Fe', 'Mg7Fe', 'GaFe', 'Pu6Fe', 'TiFe', 'FeH', 'Nb2Fe', 'FeCl3', 'Ta2Fe', 'ZnFe', 'FePt', 'MnFe', 'FeN', 'Nd2Fe', 'V3Fe', 'Li3Fe', 'FeRe3', 'Al3Fe', 'Pr4Fe', 'FeSn3', 'Be12Fe', 'FePt3', 'Be2Fe', 'FeCu4', 'VFe', 'Tm4Fe', 'Ti3Fe', 'Er4Fe', 'FeCo', 'FeRu', 'AlFe', 'U6Fe', 'FeH3', 'FeCl2']"
Co,Fm-3m,10.841542632772713,"['CoPd3', 'CoI2', 'CoN', 'CoIr', 'CoSb3', 'Ho4Co', 'Be5Co', 'CoTc3', 'Cr2Co', 'Rb3Co', 'CoSb2', 'CoF4', 'K3Co', 'Fe3Co', 'CoMo3', 'CoAu4', 'Cr3Co', 'CoP3', 'CoO4', 'CoPb3', 'Be12Co', 'UCo', 'Hf2Co', 'Yb4Co', 'CoBr2', 'Sc4Co', 'CoPt', 'AlCo', 'V3Co', 'MnCo', 'Nd2Co', 'La4Co', 'CoAs', 'Pu2Co', 'HfCo', 'VCo', 'Zr3Co', 'CoCl2', 'CoTc', 'CoSi', 'In3Co', 'Tm4Co', 'Hf4Co', 'Tl3Co', 'Mg7Co', 'Zn3Co', 'Tb4Co', 'Nd4Co', 'CoRh', 'Zn13Co', 'CoP2', 'Ta2Co', 'CoBr', 'CoSn', 'LaCo', 'Lu4Co', 'Ti4Co', 'CoAs2', 'Pu4Co', 'CrCo', 'CoSn2', 'Pr4Co', 'CoOs', 'Mg15Co', 'Sc2Co', 'Sm4Co', 'CoRe', 'TaCo', 'CoS', 'CoH3', 'CoMo', 'CoN3', 'CoAs3', 'CoNi3', 'Zr2Co', 'TiCo', 'CoW', 'CoF2', 'CoPt2', 'Zr4Co', 'CoW3', 'Mn3Co', 'Ga3Co', 'Ta4Co', 'CoNi', 'CoS2', 'CoH', 'U6Co', 'CoSb', 'YCo', 'CoTe', 'Na3Co', 'CoN12', 'CoSe2', 'CoO2', 'NdCo', 'U4Co', 'CoHg3', 'CoTe2', 'Pu6Co', 'Li3Co', 'CoSn3', 'CoGe', 'Be3Co', 'CoO', 'CoF3', 'Hf3Co', 'CoPd', 'ScCo', 'CoRe3', 'CoSe', 'CoRh3', 'BeCo', 'FeCo', 'ZnCo', 'Ti2Co', 'CoSi2', 'Mg3Co', 'NbCo', 'CoAu3', 'Co', 'ZrCo', 'Fe15Co', 'CoPt3', 'GaCo', 'CoRu']"
Ni,Fm-3m,10.492020341068946,"['NiRh', 'NiF3', 'NiI', 'Dy4Ni', 'CdNi', 'Tm4Ni', 'Cr3Ni', 'Zr3Ni', 'NiSe2', 'NiB12', 'NiCl', 'NiAu3', 'SiNi', 'CuNi', 'Cd3Ni', 'Nb3Ni', 'NiF4', 'NiC4', 'Pu4Ni', 'Cs3Ni', 'NiSe', 'NiS2', 'NiAg3', 'NiP3', 'Zr4Ni', 'Er4Ni', 'NiGe3', 'Y4Ni', 'NiBi', 'NiP4', 'NiTe2', 'Mg15Ni', 'ZnNi', 'Li3Ni', 'NiIr', 'NiTe', 'FeNi', 'Na3Ni', 'PaNi', 'NiO', 'Hf3Ni', 'VNi', 'Sr3Ni', 'Hf2Ni', 'NiP2', 'MgNi', 'NiH3', 'NiO2', 'Fe3Ni', 'Lu4Ni', 'NbNi', 'NiH', 'Fe2Ni', 'Re3Ni', 'NiRu', 'NiS', 'NiCl2', 'TbNi', 'Mg149Ni', 'Ni', 'Mg2Ni', 'TcNi', 'In3Ni', 'Ta5Ni', 'Th3Ni', 'NiPb', 'Si2Ni', 'TlNi', 'Cr2Ni', 'AlNi', 'NiBr2', 'U6Ni', 'BeNi', 'ScNi', 'NiC', 'Sc4Ni', 'Nd4Ni', 'CoNi', 'NiIr3', 'Co3Ni', 'Ga5Ni', 'Mg7Ni', 'NiAs', 'NiPt3', 'La4Ni', 'NiAs2', 'NiN', 'Ti3Ni', 'V3Ni', 'CaNi', 'CrNi', 'Ta2Ni', 'MnNi', 'Zr2Ni', 'GaNi', 'Be3Ni', 'Zn3Ni', 'NiHg', 'NiPt', 'NiPd3', 'NiF2', 'Ca4Ni', 'InNi', 'Ho4Ni', 'NiSb', 'Tc3Ni', 'Yb4Ni', 'NiSb3', 'TaNi', 'NiI2', 'TiNi', 'NiPd']"
Cu,Fm-3m,11.445998564977856,"['Hf2Cu', 'SmCu', 'CuTe2', 'GdCu', 'Zn3Cu', 'CuH', 'CuSn3', 'CuO', 'Mg2Cu', 'InCu', 'SrCu', 'Ta3Cu', 'CuAs2', 'Mg4Cu', 'CuNi', 'BeCu', 'Sr3Cu', 'CuGe3', 'Th2Cu', 'CuBr2', 'CuI2', 'Ga2Cu', 'CuSn', 'Mn4Cu', 'Mg5Cu', 'Al2Cu', 'Ga3Cu', 'CuI', 'TmCu', 'CuP2', 'Cu', 'CuS2', 'MgCu', 'YCu', 'CuP10', 'V3Cu', 'EuCu', 'NaCu', 'CuBr', 'CuPb3', 'HoCu', 'Ce3Cu', 'U3Cu', 'Fe3Cu', 'CuRh', 'Pr3Cu', 'CuF', 'ZnCu', 'Be2Cu', 'CuCl', 'CuF2', 'CuN3', 'Be3Cu', 'AlCu', 'CuSe2', 'CuAu3', 'Pm3Cu', 'BaCu', 'CuN', 'CuAu4', 'Ti2Cu', 'Cr3Cu', 'Zr3Cu', 'CuPd', 'ZrCu', 'CuNi3', 'Co3Cu', 'CuCl2', 'CuPd3', 'CuTe', 'Li3Cu', 'CuCl4', 'ScCu', 'CuI4', 'K3Cu', 'CuS', 'CuRu3', 'DyCu', 'TiCu', 'Mg3Cu', 'Zr2Cu', 'CuAu', 'ErCu', 'In3Cu', 'CaCu', 'CuPt', 'Nb3Cu', 'CuAg3', 'CuAs', 'Mg15Cu', 'Al3Cu', 'CuBi', 'TbCu', 'Np3Cu', 'Na3Cu', 'CuO2', 'Ti3Cu', 'Nd3Cu', 'Mg7Cu', 'In2Cu', 'CuPt7', 'Yb3Cu', 'Tl3Cu', 'CuSe']"
Zn,P6_3/mmc,28.845108913918352,"['ZnNi3', 'ZnSi3', 'MgZn', 'ZnAs2', 'Ca3Zn', 'ZnBi3', 'Pm3Zn', 'Mg3Zn', 'ZnNi', 'ZnAu3', 'ZnFe', 'ZnO', 'Li3Zn', 'ZnTe', 'Ba2Zn', 'ZnN6', 'ZnF2', 'ZnHg3', 'Rb3Zn', 'ZnP2', 'ZnCl2', 'ZnSn3', 'ZnPb3', 'ZnAg', 'Hf2Zn', 'ZnI2', 'ZnSe', 'ZnSb2', 'Na3Zn', 'ZnIn3', 'Ti3Zn', 'Pr3Zn', 'ZnS', 'ZnCo3', 'ZnPt', 'Th2Zn', 'ZnBr2', 'K3Zn', 'ZnPd', 'Zr3Zn', 'Ac3Zn', 'Tl3Zn', 'U3Zn', 'Zn', 'Nd3Zn', 'ZnPd3', 'ZnPd2', 'Ti2Zn', 'Sm3Zn', 'ZnCu', 'Ce3Zn', 'La3Zn', 'Mg2Zn', 'Th3Zn', 'ZnAg3', 'Mg5Zn', 'Mn3Zn', 'Zr2Zn', 'Ca2Zn', 'ZnRh3']"
Ga,Cmce,76.70242103705301,"['GaHg3', 'PuGa', 'Mn3Ga', 'Mg3Ga', 'Mn4Ga', 'GaGe3', 'Lu3Ga', 'GaBi', 'GaO', 'GaCo3', 'GaNi2', 'VGa', 'GaSe', 'GaP', 'MgGa', 'GaTe', 'GaN', 'ZrGa', 'GaC', 'GaFe3', 'Li3Ga', 'GaFe2', 'GaRe', 'GaF3', 'Zr2Ga', 'GaPt3', 'GaAg2', 'GaAg3', 'Hf3Ga', 'GaH3', 'GaSi3', 'GaI2', 'GaPb3', 'Ce3Ga', 'Ti3Ga', 'GaAs', 'GaO5', 'Mg149Ga', 'Sc3Ga', 'Tm3Ga', 'GaO3', 'GaPd3', 'GaCu2', 'MnGa', 'GaCu4', 'Th2Ga', 'GaNi3', 'GaPd', 'GaRh3', 'In3Ga', 'Mg5Ga', 'GaS', 'GaBr3', 'SrGa', 'GaFe', 'GaBr2', 'GaCo4', 'GaCu3', 'Ga', 'Hf2Ga', 'EuGa', 'Ti2Ga', 'Na3Ga', 'Mg7Ga', 'GaH', 'GaSn3', 'Cd3Ga', 'K3Ga', 'CrGa', 'GaPt', 'GaI3', 'Mg15Ga', 'Mg2Ga', 'GaCl3', 'TiGa', 'GaTc', 'UGa', 'Rb3Ga', 'GaSb']"
Ge,Fd-3m,45.68820923290832,"['GeO2', 'ZrGe', 'GeBi3', 'Hf3Ge', 'GeH4', 'GeB', 'Al3Ge', 'Nb3Ge', 'CeGe', 'Re3Ge', 'GeRu', 'MnGe', 'GeSb', 'RbGe', 'GeRh', 'LiGe', 'Ca7Ge', 'GePt2', 'NaGe', 'Y3Ge', 'GeP', 'GeRh3', 'GePd2', 'K3Ge', 'Co4Ge', 'Ti3Ge', 'GeCl4', 'CrGe', 'Rb3Ge', 'GeF2', 'GeSe2', 'GeSe', 'Si7Ge', 'GeI2', 'Zn3Ge', 'Ge', 'Ni4Ge', 'In3Ge', 'Pa3Ge', 'Ti2Ge', 'ZnGe', 'Ni3Ge', 'V3Ge', 'GeS2', 'Hg3Ge', 'GeMo3', 'Sn3Ge', 'Co2Ge', 'GeP2', 'Pu3Ge', 'Ca2Ge', 'MgGe', 'Er3Ge', 'Pm3Ge', 'Cu3Ge', 'GePd5', 'Hf2Ge', 'Mg5Ge', 'Mn3Ge', 'GeAs2', 'GePb3', 'Tm3Ge', 'Cs3Ge', 'Fe3Ge', 'GeP3', 'Ag3Ge', 'GeAs3', 'SiGe', 'Li3Ge', 'GeTe', 'Th2Ge', 'Tc3Ge', 'GeI4', 'FeGe', 'Cd3Ge', 'Mg2Ge', 'Mg3Ge', 'GeC', 'GePt3', 'GeBr4', 'Na3Ge', 'U3Ge', 'Mn2Ge', 'Ga3Ge', 'Fe2Ge', 'ThGe', 'Be3Ge', 'Si3Ge', 'GeBr2', 'ScGe', 'SnGe', 'KGe', 'CoGe', 'Ni2Ge', 'GaGe', 'Tl3Ge', 'GeSb3', 'CsGe', 'GeF4', 'Zr3Ge', 'GeAs', 'Cr3Ge', 'GeAu3']"
As,Cmce,98.54977227954305,"['TbAs', 'HoAs', 'AsS2', 'AsS', 'Er3As', 'TaAs', 'TlAs', 'AsPd4', 'Ba2As', 'K3As', 'MgAs', 'Nb2As', 'AsCl3', 'Cr3As', 'ThAs', 'AsPd2', 'Mg5As', 'AsF5', 'B6As', 'SbAs', 'Zn2As', 'AsPd5', 'Si3As', 'PaAs', 'AsF3', 'TiAs', 'EuAs', 'AsCl5', 'Cs3As', 'YAs', 'Ho3As', 'LuAs', 'Ta3As', 'AsPb3', 'In3As', 'ErAs', 'Sr2As', 'CoAs', 'GdAs', 'Fe2As', 'Ti3As', 'Rb3As', 'PuAs', 'UAs', 'AsP', 'GaAs', 'As', 'BAs', 'AsN9', 'V3As', 'SnAs', 'Ca2As', 'NdAs', 'SrAs', 'AlAs', 'DyAs', 'LiAs', 'Np3As', 'Ge3As', 'Dy3As', 'Ag3As', 'Na3As', 'Al3As', 'CaAs', 'NaAs', 'Cu4As', 'SiAs', 'NbAs', 'InAs', 'TeAs', 'Hf2As', 'AgAs', 'HfAs', 'AsPt3', 'ScAs', 'YbAs', 'Bi3As', 'NiAs', 'Sc3As', 'ZrAs', 'Tc3As', 'AsAu3', 'RbAs', 'SmAs', 'TmAs', 'Cr2As', 'LaAs', 'Mn2As', 'AsRh2', 'Ta2As', 'Co2As', 'Cd3As', 'Hg3As', 'Hf3As', 'Cu2As', 'MnAs', 'CuAs', 'Li3As', 'ZnAs', 'Tl3As', 'AsI3', 'CeAs', 'CrAs', 'Sn3As', 'AsO3', 'Cu3As', 'AsBr3', 'Ga3As', 'NpAs', 'PrAs', 'AsSe', 'Ni3As', 'GeAs', 'KAs', 'Sr3As', 'AsO2', 'AsH3']"
